Date,Open,High,Low,Close,Volume
2023-01-01,59498.16,60094.29,58926.09,58206.73,3511720
2023-01-02,61802.86,61909.23,57252.42,60125.42,4331869
2023-01-03,60927.98,60943.07,57484.89,60162.54,1898320
2023-01-04,60394.63,61525.71,59695.66,60549.72,1634736
2023-01-05,58624.07,62722.7,58819.29,60904.37,2587261
2023-01-06,58623.98,60747.88,57027.59,61903.41,3007635
2023-01-07,58232.33,61231.15,57304.41,60065.2,2226607
2023-01-08,61464.7,62266.65,58990.51,59291.83,4065173
2023-01-09,60404.46,60686.39,57015.18,61180.74,4264908
2023-01-10,60832.29,60230.94,57482.42,59083.33,1066234
2023-01-11,58082.34,60869.25,58646.2,59755.89,2612818
2023-01-12,61879.64,60483.66,59075.69,58313.83,3275504
2023-01-13,61329.77,62789.09,58955.88,58101.4,4225187
2023-01-14,58849.36,62424.36,57672.81,61850.59,1409995
2023-01-15,58727.3,61900.21,59136.54,61343.92,3292156
2023-01-16,58733.62,62614.38,57711.75,60783.9,1466152
2023-01-17,59216.97,62411.02,57976.2,59635.81,2990546
2023-01-18,60099.03,60559.71,59239.47,58693.18,3003019
2023-01-19,59727.78,62677.68,58948.9,58625.75,2773832
2023-01-20,59164.92,61618.03,59547.67,59000.97,4204891
2023-01-21,60447.41,62422.32,58972.84,60196.91,4621581
2023-01-22,58557.98,62688.27,58704.93,60858.38,1051934
2023-01-23,59168.58,60954.01,57281.02,60640.79,2768831
2023-01-24,59465.45,60330.16,58103.15,59119.74,1425523
2023-01-25,59824.28,60683.81,57795.61,61819.46,1840530
2023-01-26,61140.7,61281.32,57731.97,60951.59,4599865
2023-01-27,58798.7,62454.04,59919.03,60217.42,1005486
2023-01-28,60056.94,62582.19,58179.29,60446.88,2187983
2023-01-29,60369.66,60020.86,59676.14,59678.4,1873332
2023-01-30,58185.8,61532.24,58893.42,58990.92,4796036
2023-01-31,60430.18,61252.23,59384.43,59423.89,2039458
2023-02-01,58682.1,60666.32,58507.91,61031.38,4772811
2023-02-02,58260.21,60359.6,58730.71,58057.57,3317336
2023-02-03,61795.54,61012.85,58477.55,58464.29,3763642
2023-02-04,61862.53,62828.73,57585.73,58184.01,4495380
2023-02-05,61233.59,60969.61,59167.36,58162.92,2809891
2023-02-06,59218.46,61556.37,57842.32,61421.84,4788340
2023-02-07,58390.69,62109.06,57072.95,60814.63,3419862
2023-02-08,60736.93,61090.89,58936.42,59896.7,1197775
2023-02-09,59760.61,62915.35,57531.33,58391.34,3386488
2023-02-10,58488.15,62887.34,59821.38,59966.46,1787494
2023-02-11,59980.71,60755.35,59861.79,59893.89,2656940
2023-02-12,58137.55,61491.75,59744.59,58692.81,2138356
2023-02-13,61637.28,60902.63,58110.48,59735.41,2201193
2023-02-14,59035.12,60854.52,57046.37,59594.02,3643129
2023-02-15,60650.09,60110.66,59784.96,60463.4,4943334
2023-02-16,59246.84,61828.69,58284.55,60540.37,4496333
